processed 42247 tokens with 2970 phrases; found: 514 phrases; correct: 66.
accuracy:  81.81%; precision:  12.84%; recall:   2.22%; FB1:   3.79
            Curso: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
             Data: precision:  15.42%; recall:   9.46%; FB1:  11.73  389
           Evento: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
             Hora: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      Localizacao: precision:  13.33%; recall:   0.57%; FB1:   1.10  15
      Organizacao: precision:   0.00%; recall:   0.00%; FB1:   0.00  5
           Pessoa: precision:   2.88%; recall:   0.54%; FB1:   0.91  104
  UnidadeOrganica: precision: 100.00%; recall:   0.23%; FB1:   0.45  1
