processed 5232 tokens with 110 phrases; found: 30 phrases; correct: 25.
accuracy:  96.73%; precision:  83.33%; recall:  22.73%; FB1:  35.71
LOCAL_FISICO_REGIAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
LOCAL_HUMANO_CONSTRUCAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
LOCAL_HUMANO_DIVISAO: precision:  50.00%; recall:   7.69%; FB1:  13.33  4
LOCAL_HUMANO_PAIS: precision: 100.00%; recall:  21.05%; FB1:  34.78  4
LOCAL_VIRTUAL_SITIO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
OBRA_REPRODUZIDA_LIVRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
TEMPO_TEMPO_CALEND_DATA: precision:  84.21%; recall:  35.56%; FB1:  50.00  19
TEMPO_TEMPO_CALEND_HORA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
TEMPO_TEMPO_CALEND_INTERVALO: precision: 100.00%; recall:  75.00%; FB1:  85.71  3
