processed 2341 tokens with 73 phrases; found: 71 phrases; correct: 56.
accuracy:  97.48%; precision:  78.87%; recall:  76.71%; FB1:  77.78
            Curso: precision:  57.14%; recall:  66.67%; FB1:  61.54  7
             Data: precision:  84.62%; recall:  91.67%; FB1:  88.00  13
           Evento: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
             Hora: precision: 100.00%; recall: 100.00%; FB1: 100.00  3
      Localizacao: precision:  83.33%; recall:  62.50%; FB1:  71.43  6
      Organizacao: precision:  82.35%; recall:  82.35%; FB1:  82.35  17
           Pessoa: precision:  70.59%; recall:  70.59%; FB1:  70.59  17
  UnidadeOrganica: precision:  87.50%; recall:  87.50%; FB1:  87.50  8
