processed 16983 tokens with 1196 phrases; found: 1110 phrases; correct: 999.
accuracy:  96.30%; precision:  90.00%; recall:  83.53%; FB1:  86.64
            Curso: precision:  75.00%; recall:  56.76%; FB1:  64.62  28
             Data: precision:  96.68%; recall:  97.08%; FB1:  96.88  241
           Evento: precision:  66.67%; recall:  26.67%; FB1:  38.10  18
             Hora: precision: 100.00%; recall: 100.00%; FB1: 100.00  91
      Localizacao: precision:  80.33%; recall:  62.42%; FB1:  70.25  122
      Organizacao: precision:  80.19%; recall:  73.13%; FB1:  76.50  207
           Pessoa: precision:  94.92%; recall:  96.39%; FB1:  95.65  197
  UnidadeOrganica: precision:  92.72%; recall:  93.17%; FB1:  92.94  206
