processed 8457 tokens with 867 phrases; found: 614 phrases; correct: 358.
accuracy:  88.05%; precision:  58.31%; recall:  41.29%; FB1:  48.35
ABSTRACCAO_DISCIPLINA: precision:   0.00%; recall:   0.00%; FB1:   0.00  3
ABSTRACCAO_ESTADO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
  ABSTRACCAO_NOME: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
ACONTECIMENTO_EFEMERIDE: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
ACONTECIMENTO_EVENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
ACONTECIMENTO_ORGANIZADO: precision:  40.00%; recall:   5.56%; FB1:   9.76  5
     COISA_CLASSE: precision:   0.00%; recall:   0.00%; FB1:   0.00  3
    COISA_OBJECTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
     LOCAL_FISICO: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
     LOCAL_HUMANO: precision:  50.78%; recall:  37.36%; FB1:  43.05  128
      LOCAL_OUTRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    LOCAL_VIRTUAL: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
        OBRA_ARTE: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
       OBRA_PLANO: precision:   9.09%; recall:  10.00%; FB1:   9.52  11
 OBRA_REPRODUZIDA: precision:  58.62%; recall:  44.74%; FB1:  50.75  29
ORGANIZACAO_ADMINISTRACAO: precision:  41.18%; recall:  26.92%; FB1:  32.56  17
ORGANIZACAO_EMPRESA: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
ORGANIZACAO_INSTITUICAO: precision:  38.89%; recall:  20.59%; FB1:  26.92  18
     PESSOA_CARGO: precision:  33.33%; recall:  14.29%; FB1:  20.00  12
  PESSOA_GRUPOIND: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
PESSOA_GRUPOMEMBRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
PESSOA_INDIVIDUAL: precision:  61.36%; recall:  67.78%; FB1:  64.41  264
    TEMPO_DURACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
 TEMPO_FREQUENCIA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   TEMPO_GENERICO: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
TEMPO_TEMPO_CALEND: precision:  86.79%; recall:  75.41%; FB1:  80.70  106
VALOR_CLASSIFICACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      VALOR_MOEDA: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
 VALOR_QUANTIDADE: precision:  14.29%; recall:   7.14%; FB1:   9.52  7
