
** repeat 0 **

** support cutoff value 3 **
loading ../outputs/repeat-0/joined
using chunked sentences from out-conll-cat-utf8.txt
3178 chunks, training on 3178
training ClassifierChunker with ['DecisionTree'] classifier
Constructing training corpus for classifier.
Training classifier (63414 instances)
training DecisionTree classifier
best stump for      3 toks uses prevpos              err=0.0000
best stump for      5 toks uses prevword             err=0.0000
best stump for      5 toks uses prevword             err=0.0000
best stump for      5 toks uses prevpos              err=0.0000
best stump for      9 toks uses prevpos              err=0.0000
best stump for      3 toks uses nextword             err=0.0000
best stump for     14 toks uses prevpos              err=0.0000
best stump for     22 toks uses prevword             err=0.0000
best stump for      2 toks uses nextpos              err=0.0000
best stump for      2 toks uses prevword             err=0.0000
best stump for      3 toks uses nextpos              err=0.0000
best stump for     10 toks uses nextword             err=0.0000
best stump for     62 toks uses previob              err=0.0000
best stump for    245 toks uses prevword             err=0.0000
best stump for      3 toks uses None                 err=0.3333
best stump for      2 toks uses nextpos              err=0.0000
best stump for      2 toks uses prevpos              err=0.0000
best stump for     11 toks uses nextword             err=0.0000
best stump for     15 toks uses prevword             err=0.0667
best stump for      3 toks uses nextpos              err=0.0000
best stump for      6 toks uses nextpos              err=0.0000
best stump for     15 toks uses previob              err=0.0000
best stump for      9 toks uses nextword             err=0.0000
best stump for   4009 toks uses prevword             err=0.0017
best stump for      3 toks uses nextpos              err=0.0000
best stump for      5 toks uses nextword             err=0.0000
best stump for      2 toks uses nextpos              err=0.0000
best stump for      4 toks uses nextpos              err=0.0000
best stump for      4 toks uses nextword             err=0.0000
best stump for      2 toks uses nextpos              err=0.0000
best stump for     10 toks uses previob              err=0.0000
best stump for      2 toks uses nextpos              err=0.0000
best stump for     26 toks uses previob              err=0.0000
best stump for      3 toks uses nextpos              err=0.0000
best stump for     15 toks uses prevword             err=0.0000
best stump for      4 toks uses prevword             err=0.0000
best stump for      2 toks uses previob              err=0.0000
best stump for      3 toks uses nextpos              err=0.0000
best stump for      5 toks uses prevpos              err=0.0000
best stump for      3 toks uses previob              err=0.0000
best stump for      2 toks uses prevpos              err=0.0000
best stump for     14 toks uses prevword             err=0.0000
best stump for      9 toks uses previob              err=0.0000
best stump for      6 toks uses previob              err=0.1667
best stump for      4 toks uses None                 err=0.2500
best stump for      7 toks uses previob              err=0.1429
best stump for      2 toks uses nextpos              err=0.0000
best stump for      3 toks uses nextword             err=0.0000
best stump for    276 toks uses prevword             err=0.0109
best stump for     35 toks uses nextword             err=0.0000
best stump for      5 toks uses prevpos              err=0.2000
best stump for      2 toks uses None                 err=0.5000
best stump for      5 toks uses nextword             err=0.2000
best stump for      2 toks uses prevpos              err=0.0000
best stump for     47 toks uses prevword             err=0.0000
best stump for      7 toks uses nextpos              err=0.0000
best stump for      4 toks uses nextpos              err=0.0000
best stump for     57 toks uses nextword             err=0.0526
best stump for      2 toks uses None                 err=0.5000
best stump for      2 toks uses None                 err=0.5000
best stump for      2 toks uses None                 err=0.5000
best stump for     29 toks uses nextword             err=0.0345
best stump for      3 toks uses None                 err=0.3333
best stump for      7 toks uses nextword             err=0.0000
best stump for      6 toks uses prevpos              err=0.0000
best stump for      9 toks uses prevpos              err=0.0000
best stump for     13 toks uses nextword             err=0.0000
best stump for      4 toks uses prevpos              err=0.0000
best stump for      4 toks uses prevpos              err=0.0000
best stump for     38 toks uses previob              err=0.0000
best stump for      5 toks uses prevword             err=0.0000
best stump for      2 toks uses prevpos              err=0.0000
best stump for     23 toks uses prevword             err=0.0000
best stump for     13 toks uses prevword             err=0.0000
best stump for      8 toks uses prevpos              err=0.0000
best stump for      3 toks uses nextpos              err=0.0000
best stump for      7 toks uses nextpos              err=0.0000
best stump for     42 toks uses nextword             err=0.1905
best stump for      9 toks uses prevword             err=0.2222
best stump for      5 toks uses None                 err=0.4000
best stump for      2 toks uses prevword             err=0.0000
best stump for     20 toks uses None                 err=0.1500
best stump for      2 toks uses prevpos              err=0.0000
best stump for      7 toks uses prevpos              err=0.0000
best stump for      2 toks uses nextpos              err=0.0000
best stump for      2 toks uses nextpos              err=0.0000
best stump for     11 toks uses prevword             err=0.0000
best stump for     14 toks uses nextword             err=0.0000
best stump for      4 toks uses nextpos              err=0.0000
best stump for      2 toks uses nextpos              err=0.0000
best stump for      5 toks uses nextpos              err=0.0000
best stump for      4 toks uses nextpos              err=0.0000
best stump for      3 toks uses nextpos              err=0.0000
best stump for      2 toks uses prevpos              err=0.0000
best stump for      2 toks uses nextpos              err=0.0000
best stump for      2 toks uses nextpos              err=0.0000
best stump for     12 toks uses previob              err=0.0000
best stump for      3 toks uses nextpos              err=0.0000
best stump for      3 toks uses nextpos              err=0.0000
best stump for      2 toks uses prevpos              err=0.0000
best stump for     14 toks uses previob              err=0.0000
best stump for    129 toks uses nextword             err=0.0000
best stump for     65 toks uses prevword             err=0.0000
best stump for      3 toks uses nextpos              err=0.0000
best stump for      2 toks uses prevword             err=0.0000
best stump for      3 toks uses nextpos              err=0.0000
best stump for      3 toks uses nextpos              err=0.0000
best stump for      2 toks uses prevpos              err=0.0000
best stump for      2 toks uses prevpos              err=0.0000
best stump for     10 toks uses nextword             err=0.0000
best stump for      2 toks uses prevpos              err=0.0000
best stump for      3 toks uses nextpos              err=0.0000
