
** repeat 0 **
loading ../../outputs/repeat-0/sigarra
using chunked sentences from out-conll-sigarra.txt
5197 chunks, training on 5197
training ClassifierChunker with ['DecisionTree'] classifier
Constructing training corpus for classifier.
Training classifier (140486 instances)
training DecisionTree classifier
best stump for 140486 toks uses word                 err=0.0952
best stump for     14 toks uses prevword             err=0.0000
best stump for     70 toks uses prevword             err=0.1429
best stump for      6 toks uses nextword             err=0.1667
best stump for      3 toks uses nextpos              err=0.0000
best stump for      6 toks uses None                 err=0.3333
best stump for     15 toks uses None                 err=0.2667
best stump for    362 toks uses prevword             err=0.0249
best stump for      3 toks uses nextword             err=0.0000
best stump for      2 toks uses previob              err=0.0000
best stump for     57 toks uses previob              err=0.0000
best stump for      2 toks uses nextword             err=0.0000
best stump for      2 toks uses previob              err=0.0000
best stump for      2 toks uses nextword             err=0.0000
best stump for      4 toks uses prevpos              err=0.0000
best stump for      2 toks uses prevpos              err=0.0000
best stump for      5 toks uses prevword             err=0.0000
best stump for      2 toks uses nextpos              err=0.0000
best stump for      6 toks uses nextword             err=0.0000
best stump for      6 toks uses prevpos              err=0.0000
best stump for     26 toks uses prevword             err=0.0000
best stump for     56 toks uses nextword             err=0.0000
best stump for     15 toks uses prevword             err=0.0667
best stump for      2 toks uses nextword             err=0.0000
best stump for      3 toks uses prevpos              err=0.0000
best stump for     10 toks uses nextpos              err=0.0000
best stump for      2 toks uses None                 err=0.5000
best stump for     65 toks uses prevword             err=0.0000
best stump for     15 toks uses prevword             err=0.0000
best stump for     24 toks uses previob              err=0.0000
best stump for      4 toks uses prevword             err=0.2500
best stump for      3 toks uses previob              err=0.0000
best stump for      3 toks uses prevword             err=0.0000
best stump for     86 toks uses prevword             err=0.0349
best stump for     35 toks uses None                 err=0.0857
best stump for      6 toks uses nextpos              err=0.0000
best stump for     21 toks uses nextword             err=0.0000
best stump for      9 toks uses prevpos              err=0.0000
best stump for     10 toks uses nextword             err=0.0000
best stump for      6 toks uses nextpos              err=0.0000
best stump for      3 toks uses nextpos              err=0.0000
best stump for      2 toks uses nextpos              err=0.0000
best stump for      4 toks uses prevpos              err=0.0000
best stump for      6 toks uses previob              err=0.0000
best stump for      2 toks uses prevword             err=0.0000
best stump for     11 toks uses nextword             err=0.0000
best stump for     23 toks uses prevword             err=0.0000
best stump for      2 toks uses nextpos              err=0.0000
best stump for      3 toks uses prevword             err=0.0000
best stump for     43 toks uses prevword             err=0.0000
best stump for     15 toks uses previob              err=0.0000
best stump for      3 toks uses previob              err=0.0000
best stump for      7 toks uses previob              err=0.0000
best stump for      4 toks uses nextpos              err=0.0000
best stump for      8 toks uses previob              err=0.0000
best stump for     25 toks uses previob              err=0.0000
best stump for      4 toks uses prevword             err=0.0000
best stump for     70 toks uses previob              err=0.0000
best stump for     14 toks uses nextword             err=0.0000
best stump for      4 toks uses prevpos              err=0.0000
best stump for     12 toks uses prevpos              err=0.0000
best stump for      2 toks uses prevword             err=0.0000
best stump for      7 toks uses prevpos              err=0.0000
best stump for      2 toks uses nextpos              err=0.0000
best stump for    101 toks uses prevword             err=0.0000
best stump for     95 toks uses None                 err=0.0105
best stump for     39 toks uses prevword             err=0.0000
best stump for     16 toks uses nextword             err=0.0000
best stump for      5 toks uses prevword             err=0.0000
best stump for      7 toks uses nextword             err=0.0000
best stump for      4 toks uses nextword             err=0.0000
best stump for      3 toks uses nextword             err=0.0000
best stump for      4 toks uses nextpos              err=0.0000
best stump for      3 toks uses nextpos              err=0.0000
best stump for     18 toks uses previob              err=0.0000
best stump for     38 toks uses previob              err=0.0000
best stump for     10 toks uses prevword             err=0.0000
best stump for      3 toks uses prevword             err=0.0000
best stump for      9 toks uses prevword             err=0.0000
best stump for      3 toks uses previob              err=0.0000
best stump for      6 toks uses previob              err=0.0000
best stump for     27 toks uses prevword             err=0.0000
best stump for      2 toks uses prevpos              err=0.0000
best stump for     14 toks uses nextword             err=0.0714
best stump for      2 toks uses prevpos              err=0.0000
best stump for     17 toks uses previob              err=0.0000
best stump for      7 toks uses prevpos              err=0.0000
best stump for     11 toks uses previob              err=0.0000
best stump for     28 toks uses prevword             err=0.0000
best stump for      2 toks uses nextpos              err=0.0000
