
** training iterations **

** repeat 0 **

** iterations value: 160 **

** training categories **
Indexing events using cutoff of 5

	Computing event counts...  done. 59062 events
	Indexing...  done.
Sorting and merging events... done. Reduced 59062 events to 55254.
Done indexing.
Incorporating indexed data for training...  
done.
	Number of Event Tokens: 55254
	    Number of Outcomes: 21
	  Number of Predicates: 16579
...done.
Computing model parameters ...
Performing 160 iterations.
 98:  ... loglikelihood=-4164.52924829356	0.9858453828180556
 99:  ... loglikelihood=-4144.785778968566	0.9859469709796485
100:  ... loglikelihood=-4125.367451111128	0.9859639023399139
101:  ... loglikelihood=-4106.265552635587	0.986031627780976
102:  ... loglikelihood=-4087.471691901075	0.9860485591412415
103:  ... loglikelihood=-4068.9777828309807	0.9861162845823034
104:  ... loglikelihood=-4050.7760308619127	0.9861501473028343
105:  ... loglikelihood=-4032.8589196683392	0.9861840100233653
106:  ... loglikelihood=-4015.2191986135504	0.9862686668246927
107:  ... loglikelihood=-3997.8498708805	0.9863194609054892
108:  ... loglikelihood=-3980.7441822393216	0.9863533236260201
109:  ... loglikelihood=-3963.89561041269	0.9864210490670821
110:  ... loglikelihood=-3947.297855001517	0.9864718431478785
111:  ... loglikelihood=-3930.944827936203	0.9865734313094714
112:  ... loglikelihood=-3914.8306444226914	0.9866072940300024
113:  ... loglikelihood=-3898.949614352288	0.9866242253902678
114:  ... loglikelihood=-3883.2962341486336	0.9867088821915952
115:  ... loglikelihood=-3867.8651790254125	0.9867596762723917
116:  ... loglikelihood=-3852.6512956306615	0.9868274017134536
117:  ... loglikelihood=-3837.649595055655	0.9868951271545156
118:  ... loglikelihood=-3822.8552461868426	0.9869289898750465
119:  ... loglikelihood=-3808.263569381739	0.986979783955843
120:  ... loglikelihood=-3793.8700304500035	0.987013646676374
121:  ... loglikelihood=-3779.6702349227135	0.9870644407571705
122:  ... loglikelihood=-3765.6599225939267	0.987081372117436
123:  ... loglikelihood=-3751.834962319006	0.9871490975584979
124:  ... loglikelihood=-3738.1913470562854	0.9871490975584979
125:  ... loglikelihood=-3724.725189138168	0.9871490975584979
126:  ... loglikelihood=-3711.4327157598955	0.9871660289187634
127:  ... loglikelihood=-3698.3102646736784	0.9871829602790289
128:  ... loglikelihood=-3685.354280077875	0.9872506857200908
129:  ... loglikelihood=-3672.5613086904586	0.9872676170803563
130:  ... loglikelihood=-3659.9279959976925	0.9873014798008872
131:  ... loglikelihood=-3647.4510826678365	0.9873353425214182
132:  ... loglikelihood=-3635.127401122986	0.9873522738816837
133:  ... loglikelihood=-3622.9538722592906	0.9873522738816837
134:  ... loglikelihood=-3610.9275023092455	0.9873692052419492
135:  ... loglikelihood=-3599.0453798381386	0.9874199993227456
136:  ... loglikelihood=-3587.304672868424	0.9874369306830111
137:  ... loglikelihood=-3575.702626125411	0.987470793403542
138:  ... loglikelihood=-3564.236558398166	0.9874877247638075
139:  ... loglikelihood=-3552.9038600104586	0.987538518844604
140:  ... loglikelihood=-3541.7019903957216	0.9875554502048695
