
** training sigarra **

** repeat 0 **
Indexing events using cutoff of 4

	Computing event counts...  done. 128056 events
	Indexing...  done.
Sorting and merging events... done. Reduced 128056 events to 102562.
Done indexing.
Incorporating indexed data for training...  
done.
	Number of Event Tokens: 102562
	    Number of Outcomes: 17
	  Number of Predicates: 50323
...done.
Computing model parameters ...
Performing 170 iterations.
 98:  ... loglikelihood=-4161.686513430229	0.9953848316361592
 99:  ... loglikelihood=-4135.038308282191	0.995408258886737
100:  ... loglikelihood=-4108.846034807654	0.9954316861373149
101:  ... loglikelihood=-4083.097276942799	0.9954394952208409
102:  ... loglikelihood=-4057.7800794912887	0.9954551133878928
103:  ... loglikelihood=-4032.8829265419686	0.9954707315549447
104:  ... loglikelihood=-4008.3947211016757	0.9954863497219967
105:  ... loglikelihood=-3984.304765864509	0.9955019678890485
106:  ... loglikelihood=-3960.6027450427605	0.9955410133066783
107:  ... loglikelihood=-3937.2787071920357	0.9955722496407822
108:  ... loglikelihood=-3914.3230489663	0.9955956768913601
109:  ... loglikelihood=-3891.7264997455677	0.9956269132254638
110:  ... loglikelihood=-3869.4801070796125	0.9956581495595677
111:  ... loglikelihood=-3847.5752228994265	0.9956893858936715
112:  ... loglikelihood=-3826.003490447496	0.9956971949771974
113:  ... loglikelihood=-3804.756831884194	0.9957050040607235
114:  ... loglikelihood=-3783.827436529102	0.9957206222277754
115:  ... loglikelihood=-3763.2077496994943	0.9957440494783533
116:  ... loglikelihood=-3742.890462110975	0.9957596676454051
117:  ... loglikelihood=-3722.868499806316	0.995783094895983
118:  ... loglikelihood=-3703.1350145828387	0.9958143312300869
119:  ... loglikelihood=-3683.683374889185	0.9958689948147685
120:  ... loglikelihood=-3664.5071571642975	0.9958846129818204
121:  ... loglikelihood=-3645.600137594302	0.9958846129818204
122:  ... loglikelihood=-3626.9562842629143	0.9958924220653464
123:  ... loglikelihood=-3608.5697496744833	0.9959314674829762
124:  ... loglikelihood=-3590.4348636278937	0.9959392765665022
125:  ... loglikelihood=-3572.5461264230403	0.9959470856500281
126:  ... loglikelihood=-3554.8982023815342	0.9959470856500281
127:  ... loglikelihood=-3537.4859136641226	0.9959861310676579
128:  ... loglikelihood=-3520.304234370151	0.9960017492347099
129:  ... loglikelihood=-3503.348284902451	0.9960095583182358
130:  ... loglikelihood=-3486.6133265853396	0.9960251764852877
131:  ... loglikelihood=-3470.094756521364	0.9960251764852877
132:  ... loglikelihood=-3453.7881026746163	0.9960329855688136
133:  ... loglikelihood=-3437.689019169573	0.9960329855688136
134:  ... loglikelihood=-3421.79328179326	0.9960486037358656
135:  ... loglikelihood=-3406.096783691852	0.9960642219029174
136:  ... loglikelihood=-3390.59553125059	0.9960798400699694
137:  ... loglikelihood=-3375.2856401487243	0.9961345036546511
138:  ... loglikelihood=-3360.1633315805752	0.996150121821703
139:  ... loglikelihood=-3345.224928634237	0.9961657399887549
140:  ... loglikelihood=-3330.466852820537	0.9961657399887549
141:  ... loglikelihood=-3315.885620744866	0.9961969763228588
142:  ... loglikelihood=-3301.4778409151604	0.9961969763228588
143:  ... loglikelihood=-3287.24021067886	0.9962047854063847
144:  ... loglikelihood=-3273.1695132836467	0.9962047854063847
145:  ... loglikelihood=-3259.2626150556175	0.9962125944899106
146:  ... loglikelihood=-3245.516462688904	0.9962204035734367
147:  ... loglikelihood=-3231.9280806429215	0.9962594489910664
148:  ... loglikelihood=-3218.49456864074	0.9962750671581183
149:  ... loglikelihood=-3205.2130992649795	0.9962828762416442
150:  ... loglikelihood=-3192.080915646149	0.9962906853251703
151:  ... loglikelihood=-3179.0953292400054	0.9962906853251703
152:  ... loglikelihood=-3166.253717688913	0.9962906853251703
153:  ... loglikelihood=-3153.553522764424	0.9962984944086962
154:  ... loglikelihood=-3140.9922483867526	0.9963297307428001
155:  ... loglikelihood=-3128.5674587182393	0.996337539826326
156:  ... loglikelihood=-3116.2767763273214	0.9963453489098519
157:  ... loglikelihood=-3104.1178804201577	0.9963531579933779
158:  ... loglikelihood=-3092.0885051364976	0.9963609670769038
159:  ... loglikelihood=-3080.1864379076305	0.9963609670769038
160:  ... loglikelihood=-3068.4095178738917	0.9963765852439558
161:  ... loglikelihood=-3056.7556343580077	0.9963765852439558
162:  ... loglikelihood=-3045.222725393581	0.9964000124945337
163:  ... loglikelihood=-3033.8087763051117	0.9964078215780596
164:  ... loglikelihood=-3022.5118183380914	0.9964078215780596
165:  ... loglikelihood=-3011.3299273371586	0.9964234397451115
166:  ... loglikelihood=-3000.2612224696063	0.9964390579121635
167:  ... loglikelihood=-2989.3038649934247	0.9964390579121635
168:  ... loglikelihood=-2978.4560570672406	0.9964468669956894
169:  ... loglikelihood=-2967.7160406010294	0.9964624851627413
170:  ... loglikelihood=-2957.082096145683	0.9964624851627413

Training data summary:
#Sentences: 5899
#Tokens: 128056
#Organizacao entities: 1762
#Localizacao entities: 1241
#Hora entities: 774
#UnidadeOrganica entities: 1369
#Evento entities: 322
#Data entities: 2170
#Curso entities: 414
#Pessoa entities: 1605

Writing name finder model ... done (0.768s)

Wrote name finder model to
path: /home/arop/Documents/ner-re-pt/tools/open-nlp/train/models/repeat-0/sigarra/pt-ner-sigarra.bin

Execution time: 64.314 seconds

real	1m4.502s
user	1m8.084s
sys	0m0.676s

** repeat 1 **
Indexing events using cutoff of 4

	Computing event counts...  done. 129580 events
	Indexing...  done.
Sorting and merging events... done. Reduced 129580 events to 103484.
Done indexing.
Incorporating indexed data for training...  
done.
	Number of Event Tokens: 103484
	    Number of Outcomes: 17
	  Number of Predicates: 50705
...done.
Computing model parameters ...
Performing 170 iterations.
  1:  ... loglikelihood=-367127.7851218881	0.7814554715233832
  2:  ... loglikelihood=-108146.39226700523	0.8038894891186912
  3:  ... loglikelihood=-68477.43880066644	0.8818336162988115
  4:  ... loglikelihood=-50562.16152169485	0.9235761691619077
  5:  ... loglikelihood=-40446.19262990262	0.944806297268097
  6:  ... loglikelihood=-33997.014749196605	0.9558805371199259
  7:  ... loglikelihood=-29530.101002711657	0.9637521222410866
  8:  ... loglikelihood=-26245.584173863994	0.9687991974070073
  9:  ... loglikelihood=-23720.889463635165	0.9721947831455472
 10:  ... loglikelihood=-21713.51966745196	0.9751736379070844
 11:  ... loglikelihood=-20074.77037016845	0.9774116375983948
 12:  ... loglikelihood=-18708.414448909134	0.9791634511498688
 13:  ... loglikelihood=-17549.392004330828	0.980899830220713
 14:  ... loglikelihood=-16552.09998086396	0.9820805679888872
 15:  ... loglikelihood=-15683.596736309171	0.9831455471523384
 16:  ... loglikelihood=-14919.471492466706	0.9840947677110665
 17:  ... loglikelihood=-14241.23326091168	0.9849822503472758
 18:  ... loglikelihood=-13634.604251254717	0.9858079950609662
 19:  ... loglikelihood=-13088.371891146391	0.9864099398055255
 20:  ... loglikelihood=-12593.597165425024	0.9869964500694551
 21:  ... loglikelihood=-12143.056895707212	0.987459484488347
 22:  ... loglikelihood=-11730.843596257568	0.9878221947831456
 23:  ... loglikelihood=-11352.073740980959	0.9881617533569995
 24:  ... loglikelihood=-11002.671796959981	0.9886016360549468
 25:  ... loglikelihood=-10679.207842980122	0.98898749807069
 26:  ... loglikelihood=-10378.77355199603	0.9893502083654885
 27:  ... loglikelihood=-10098.88606944521	0.9896280290168236
 28:  ... loglikelihood=-9837.412544091681	0.9899598703503627
 29:  ... loglikelihood=-9592.510221888293	0.9902068220404383
 30:  ... loglikelihood=-9362.578449406092	0.9904383392498842
 31:  ... loglikelihood=-9146.219906754004	0.9906698564593301
 32:  ... loglikelihood=-8942.209066935908	0.990909090909091
 33:  ... loglikelihood=-8749.466362041383	0.99124093224263
 34:  ... loglikelihood=-8567.036889885834	0.9914647322117611
 35:  ... loglikelihood=-8394.072757572829	0.991642228739003
 36:  ... loglikelihood=-8229.818356874614	0.9917811390646705
 37:  ... loglikelihood=-8073.5980176544535	0.991866028708134
 38:  ... loglikelihood=-7924.805601788767	0.9920512424756907
 39:  ... loglikelihood=-7782.895689822641	0.9921592838400988
 40:  ... loglikelihood=-7647.376082244222	0.992321345886711
 41:  ... loglikelihood=-7517.8013915923	0.9924139527704893
 42:  ... loglikelihood=-7393.767544227479	0.9925219941348974
 43:  ... loglikelihood=-7274.907044243359	0.9926531872202501
 44:  ... loglikelihood=-7160.88487874183	0.9927920975459176
 45:  ... loglikelihood=-7051.394965085998	0.9928692699490662
 46:  ... loglikelihood=-6946.1570579702	0.9929541595925298
 47:  ... loglikelihood=-6844.914048078951	0.993108504398827
 48:  ... loglikelihood=-6747.429595444664	0.9932628492051242
 49:  ... loglikelihood=-6653.486049874718	0.9933631733292174
 50:  ... loglikelihood=-6562.882618420074	0.9935098008951999
 51:  ... loglikelihood=-6475.433746121405	0.9935483870967742
 52:  ... loglikelihood=-6390.967681448213	0.9936564284611823
 53:  ... loglikelihood=-6309.325202156933	0.9937336008643309
 54:  ... loglikelihood=-6230.358480873981	0.9938030560271647
 55:  ... loglikelihood=-6153.93007272286	0.9938879456706282
 56:  ... loglikelihood=-6079.912009829636	0.993957400833462
 57:  ... loglikelihood=-6008.184989669485	0.9940500077172403
 58:  ... loglikelihood=-5938.637646014903	0.9941580490816484
 59:  ... loglikelihood=-5871.165892765426	0.994181200802593
 60:  ... loglikelihood=-5805.672332236029	0.9942197870041674
 61:  ... loglikelihood=-5742.065720584431	0.9943046766476308
 62:  ... loglikelihood=-5680.260483998854	0.9943586973298348
 63:  ... loglikelihood=-5620.1762800781735	0.9944127180120389
 64:  ... loglikelihood=-5561.737599526871	0.9944513042136132
 65:  ... loglikelihood=-5504.8734038859475	0.9944744559345579
 66:  ... loglikelihood=-5449.516795538217	0.9944976076555024
 67:  ... loglikelihood=-5395.604716667634	0.9945670628183362
 68:  ... loglikelihood=-5343.077674243143	0.9945824972989659
 69:  ... loglikelihood=-5291.879488431542	0.9946210835005402
 70:  ... loglikelihood=-5241.957062137736	0.9946828214230591
 71:  ... loglikelihood=-5193.260169625942	0.9947214076246335
