processed 1389 tokens with 39 phrases; found: 25 phrases; correct: 13.
accuracy:  95.18%; precision:  52.00%; recall:  33.33%; FB1:  40.62
LOCAL_FISICO_AGUACURSO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
LOCAL_HUMANO_CONSTRUCAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
LOCAL_HUMANO_DIVISAO: precision:  57.14%; recall:  50.00%; FB1:  53.33  7
LOCAL_HUMANO_PAIS: precision: 100.00%; recall:  71.43%; FB1:  83.33  5
OBRA_REPRODUZIDA_LIVRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
ORGANIZACAO_INSTITUICAO_SUB: precision: 100.00%; recall:  16.67%; FB1:  28.57  1
TEMPO_TEMPO_CALEND_DATA: precision:  27.27%; recall:  27.27%; FB1:  27.27  11
TEMPO_TEMPO_CALEND_HORA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
TEMPO_TEMPO_CALEND_INTERVALO: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
