processed 10143 tokens with 699 phrases; found: 595 phrases; correct: 318.
accuracy:  92.50%; precision:  53.45%; recall:  45.49%; FB1:  49.15
ABSTRACCAO_DISCIPLINA: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
 ABSTRACCAO_IDEIA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
  ABSTRACCAO_NOME: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
ACONTECIMENTO_EFEMERIDE: precision:  25.00%; recall:  50.00%; FB1:  33.33  4
ACONTECIMENTO_EVENTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
ACONTECIMENTO_ORGANIZADO: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
     COISA_CLASSE: precision:   0.00%; recall:   0.00%; FB1:   0.00  10
    COISA_OBJECTO: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
 COISA_SUBSTANCIA: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
     LOCAL_FISICO: precision:  28.57%; recall:  33.33%; FB1:  30.77  7
     LOCAL_HUMANO: precision:  39.32%; recall:  61.33%; FB1:  47.92  117
    LOCAL_VIRTUAL: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
        OBRA_ARTE: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
       OBRA_PLANO: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
 OBRA_REPRODUZIDA: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
ORGANIZACAO_ADMINISTRACAO: precision:  33.33%; recall:  27.78%; FB1:  30.30  15
ORGANIZACAO_EMPRESA: precision:  18.18%; recall:   9.52%; FB1:  12.50  11
ORGANIZACAO_INSTITUICAO: precision:  65.38%; recall:  56.67%; FB1:  60.71  52
     PESSOA_CARGO: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
  PESSOA_GRUPOIND: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
PESSOA_GRUPOMEMBRO: precision:   0.00%; recall:   0.00%; FB1:   0.00  7
PESSOA_INDIVIDUAL: precision:  62.94%; recall:  71.71%; FB1:  67.04  286
      PESSOA_POVO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    TEMPO_DURACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
 TEMPO_FREQUENCIA: precision: 100.00%; recall:   8.33%; FB1:  15.38  1
   TEMPO_GENERICO: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
TEMPO_TEMPO_CALEND: precision:  72.73%; recall:  51.95%; FB1:  60.61  55
VALOR_CLASSIFICACAO: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      VALOR_MOEDA: precision: 100.00%; recall:  11.11%; FB1:  20.00  1
 VALOR_QUANTIDADE: precision:  42.86%; recall:  31.58%; FB1:  36.36  14
