processed 18341 tokens with 1334 phrases; found: 253 phrases; correct: 32.
accuracy:  78.80%; precision:  12.65%; recall:   2.40%; FB1:   4.03
            Curso: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
             Data: precision:  15.51%; recall:   9.63%; FB1:  11.89  187
           Evento: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
             Hora: precision:   0.00%; recall:   0.00%; FB1:   0.00  7
      Localizacao: precision:   0.00%; recall:   0.00%; FB1:   0.00  4
      Organizacao: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
           Pessoa: precision:   5.66%; recall:   1.36%; FB1:   2.20  53
  UnidadeOrganica: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
